key,title,document,claim
mcintosh2016mcr,An empirical study of the impact of modern code review practices on software quality,main.tex,"Participation, rather than presence, is what relates to review outcomes [CITE], and human factors decide whether an invited reviewer engages at all [CITE]."
thongtanunam2017participation,Review participation in modern code review,main.tex,"Participation, rather than presence, is what relates to review outcomes [CITE], and human factors decide whether an invited reviewer engages at all [CITE]."
ruangwan2019humanfactors,The impact of human factors on the participation decision of reviewers in modern code review,main.tex,"Participation, rather than presence, is what relates to review outcomes [CITE], and human factors decide whether an invited reviewer engages at all [CITE]."
zhang2022latency,Pull request latency explained: an empirical overview,main.tex,"First response time dominates how long a PR takes [CITE], which is why we place our check point after it rather than before."
hirao2019linkage,The review linkage graph for code review analytics: a recovery approach and empirical study,main.tex,"Hirao et al.\ recover review links that the platform never stored and label them with classifiers reaching F1 between 0.71 and 0.79, which is the clearest demonstration that recovered edges buy real analytic power at a measurable error rate [CITE]."
tufano2022pretrained,Using pre-trained models to boost code review automation,main.tex,"The code-review-automation datasets take the same route by assumption, pairing a comment with the next revision of the file it touched to build training triples at a scale no anchored rule could reach [CITE]."
li2022codereviewer,Automating code review activities by large-scale pre-training,main.tex,"The code-review-automation datasets take the same route by assumption, pairing a comment with the next revision of the file it touched to build training triples at a scale no anchored rule could reach [CITE]."
vijayvergiya2024autocommenter,AI-assisted assessment of coding practices in modern code review,main.tex,"Google judges whether its own review comments were resolved by checking whether the commented lines changed before submission, then confirming a sample by hand [CITE], and reports that 7.5\% of all its reviewer comments are addressed by applying a machine-suggested edit [CITE]."
frommgen2024resolving,Resolving code review comments with machine learning,main.tex,"Google judges whether its own review comments were resolved by checking whether the commented lines changed before submission, then confirming a sample by hand [CITE], and reports that 7.5\% of all its reviewer comments are addressed by applying a machine-suggested edit [CITE]."
sun2026aicodereview,Does AI code review lead to code changes? A case study of GitHub Actions,main.tex,"Closest to our own setting, Sun et al.\ adjudicate more than 22,000 AI review comments across 178 repositories with a two-stage LLM-assisted framework that reads the following diff rather than any reply [CITE]."
fregnan2022reviewchanges,The evolution of the code during review: an investigation on review changes,main.tex,"Fregnan et al.\ find that most changes made during review are not triggered by any reviewer comment at all [CITE], so a rule that reads the diff will credit comments for edits they did not cause."
bosu2015useful,Characteristics of useful code reviews: an empirical study at Microsoft,main.tex,"Bosu et al.\ find that much review feedback at Microsoft is not useful, that usefulness rises with reviewer tenure, and that it falls as changes grow [CITE]; later work predicts usefulness from the text and the author's experience [CITE]."
rahman2017usefulness,Predicting usefulness of code review comments using textual features and developer experience,main.tex,"Bosu et al.\ find that much review feedback at Microsoft is not useful, that usefulness rises with reviewer tenure, and that it falls as changes grow [CITE]; later work predicts usefulness from the text and the author's experience [CITE]."
ahmed2025useful,Hold on! is my feedback useful? evaluating the usefulness of code review comments,main.tex,"Bosu et al.\ find that much review feedback at Microsoft is not useful, that usefulness rises with reviewer tenure, and that it falls as changes grow [CITE]; later work predicts usefulness from the text and the author's experience [CITE]."
wessel2021noise,Don't disturb me: challenges of interacting with software bots on open source software projects,main.tex,"Wessel et al.\ name the failure mode on the machine side, describing how automated contributions come to be read as noise that crowds out human conversation [CITE]."
sun2026aicodereview,Does AI code review lead to code changes? A case study of GitHub Actions,main.tex,"Sun et al.\ report that between 0.9\% and 19.2\% of valid AI review comments lead to a code change, depending on the tool, against 60\% for valid human comments in the same repositories [CITE]."
maddila2026aifixes,AI-assisted fixes to code review comments at scale,main.tex,"Meta's production system converts 19.7\% of actionable comments into an applied fix, and its binding constraint turned out to be where a person sat in the loop: showing patches to reviewers slowed review by more than 5\% until the interface showed them only to authors [CITE]."
qian2023chatdev,ChatDev: Communicative Agents for Software Development,main.tex,{Designed multi-agent review} Role-based systems such as ChatDev and MetaGPT make communication part of the design [CITE].
hong2023metagpt,MetaGPT: Meta Programming for a Multi-Agent Collaborative Framework,main.tex,{Designed multi-agent review} Role-based systems such as ChatDev and MetaGPT make communication part of the design [CITE].
zhang2026reporeviewer,RepoReviewer: A Local-First Multi-Agent Architecture for Repository-Level Code Review,main.tex,"RepoReviewer divides review into repository, file, priority, and summary roles [CITE]."
qiu2026adversarial,Adversarial Review: Structured Disagreement for Grounded Agentic Code Review,main.tex,Adversarial Review adds a critic that checks a review through structured disagreement [CITE].
wang2026swereview,SWE-Review: Closing the Loop on Issue Resolution with Agentic Code Review,main.tex,"SWE-Review tests a known generate, review, revise loop [CITE]."
li2026aidev,AIDev: Studying AI Coding Agents on GitHub,main.tex,The release gathers roughly 7.6 million agent-authored PRs [CITE].
munaiah2017curating,Curating GitHub for engineered software projects,main.tex,Star thresholds of this kind are the usual way to separate engineered projects from scratch repositories [CITE].
vanderweele2017evalue,Sensitivity Analysis in Observational Research: Introducing the E-Value,main.tex,"Two of them ask how strong an unmeasured cause would have to be: an E-value [CITE], which puts a single number on that strength, and a grid showing the same thing as a region."
vanderweele2017evalue,Sensitivity Analysis in Observational Research: Introducing the E-Value,main.tex,That is what an E-value does [CITE].
vanderweele2017evalue,Sensitivity Analysis in Observational Research: Introducing the E-Value,main.tex,"We compute it on the risk-ratio scale, from the adjusted later-merge risk ratio implied by our linear-probability estimate, following the standard conversion [CITE]."
yoshioka2026meaningful,Let's Make Every Pull Request Meaningful: An Empirical Analysis of Developer and Agentic Pull Requests,main.tex,"Issue linkage is already known to relate to how agent-authored PRs fare, while showing no such relation for human-authored ones [CITE]."
chopra2021referencing,"``@alex, this fixes \#9'': analysis of referencing patterns in pull request discussions",main.tex,"References in a PR discussion are how participants build common ground [CITE], and reviewers begin by orienting themselves to context and rationale before they decide anything [CITE]."
heander2026decisionmaking,Code review as decision-making: building a cognitive model from the questions asked during code review,main.tex,"References in a PR discussion are how participants build common ground [CITE], and reviewers begin by orienting themselves to context and rationale before they decide anything [CITE]."
heander2026decisionmaking,Code review as decision-making: building a cognitive model from the questions asked during code review,main.tex,"This is what reviewers are known to do first: orient themselves to context and rationale before deciding anything [CITE], using references in the discussion to build common ground [CITE]."
chopra2021referencing,"``@alex, this fixes \#9'': analysis of referencing patterns in pull request discussions",main.tex,"This is what reviewers are known to do first: orient themselves to context and rationale before deciding anything [CITE], using references in the discussion to build common ground [CITE]."
monperrus2026endofreview,The End of Code Review: Coding Agents Supersede Human Inspection,main.tex,"It has been proposed that agents can already meet every goal of code review, and that keeping a person as the mandatory reviewer is a dead end [CITE]."
selvanayagam2026a2a,AI-to-AI Code Reviews of GitHub Pull Requests,technical_appendix.tex,"This boundary also separates the study from prior work on cross-product review prevalence, broad reviewer-type sequences, and developer response [CITE]."
zhong2026agenticreview,From Human-Centric to Agentic Code Review: The Impact of Different Generations of Generative AI Technology on Review Quality,technical_appendix.tex,"This boundary also separates the study from prior work on cross-product review prevalence, broad reviewer-type sequences, and developer response [CITE]."
cynthia2026responses,"``Go Home Copilot, You're Drunk'': Understanding Developer Responses to Agent-Generated Code Review Comments",technical_appendix.tex,"This boundary also separates the study from prior work on cross-product review prevalence, broad reviewer-type sequences, and developer response [CITE]."
qiu2026adversarial,Adversarial Review: Structured Disagreement for Grounded Agentic Code Review,technical_appendix.tex,"The semantic gate is kept separate because designed multi-agent review already shows that structured disagreement and role separation can matter [CITE], and public co-location alone does not show the same mechanism."
zhang2026reporeviewer,RepoReviewer: A Local-First Multi-Agent Architecture for Repository-Level Code Review,technical_appendix.tex,"The semantic gate is kept separate because designed multi-agent review already shows that structured disagreement and role separation can matter [CITE], and public co-location alone does not show the same mechanism."
zhong2026agenticreview,From Human-Centric to Agentic Code Review: The Impact of Different Generations of Generative AI Technology on Review Quality,technical_appendix.tex,"The replication block applies the same product mapping, inline-parent rule, AIDev-overlap exclusion, and 48-hour landmark gate to the full pinned SWE-Review-Chat release [CITE]."
selvanayagam2026a2a,AI-to-AI Code Reviews of GitHub Pull Requests,technical_appendix.tex,"The concordance block joins the landmark cohort to the independently released AI-to-AI cross-product cohort derived from CodAGE [CITE] on repository, PR number, and exact product labels, importing no outcome or post-trigger feature."
kumar2026sweprbench,SWE-PRBench: Benchmarking AI Code Review Quality Against Pull Request Feedback,technical_appendix.tex,"{Artifacts kept only for semantic measurement} SWE-PRBench contains real merged PRs and human-written initiating feedback [CITE], but it removes the usable reply path, uses synthetic per-PR comment identifiers, and supplies no event time or review-batch identifier; its annotation files and PR-level summary counts also disagree, so the annotation files are the only accepted source of record."
cynthia2026responses,"``Go Home Copilot, You're Drunk'': Understanding Developer Responses to Agent-Generated Code Review Comments",technical_appendix.tex,"The AIReviewAction artifact linked to the developer-response study [CITE] has mixed comment and file-fragment grain, model-derived actionability and response labels with a small double-human audit, an ``addressed'' label that means an inferred later code change rather than an exact public reply, and an incomplete label lineage; a leave-one-source-out text-transfer check also failed its frozen generalization gate, so no transferred label enters the AIDev analysis."
