normalised_edge_text,edge_events
"this is part of the broader naming cleanup tracked in # (rfc: rename bundler-agnostic config files). the template content, log messages, and filenames all use ""webpack"" despite being bundler-agnostic at runtime. deferring to that rfc to address holistically rather than piecemeal in this pr.",1
addressed in f . validatefilenametemplate now inspects all {{...}} placeholders and rejects malformed/unknown tokens (including cases like {{id}} / {{pub-date}}).,1
"noted, thanks",1
addressed in d d fbc . baseline mtime capture was moved to run only after all permission prompts (`external_directory` / `bash`) and immediately before process spawn. we now avoid pre-permission stat calls on tracked files.,1
**[claude agent]** addressed: collapsed the redundant branching into validation checks + single `ctx.submit_transaction()` call. updated doc comment to accurately describe current behavior.,1
wont' fix. this matches the original function that was moved here.,1
it does seem like a very unwieldy cache key; can we somehow do better?,1
"agreed. i updated the cache semantics so `last_terminal_title` only changes after successful `set_terminal_title()` / `clear_terminal_title()`. on write failure we now preserve the prior cached value, which avoids suppressing retries. fixed in f .",1
"it should jst be mainnet beta, mocha, arabica",1
nit,1
"skyline.ms issue numbers may overlap pr numbers, but they are completely different things.",1
"update: implemented in commit b af d. the custom range parser was replaced with semver (`validrange` + `intersects`), and `semver` is now an explicit frontend dev dependency.",1
"same misunderstanding as the other bot. each test creates a dedicated repository with exactly one pr in it. there is nothing to filter. `listrepoissuecomments` returns comments from one issue because there is only one issue. this is the same api call used in every test in this file and in the shared `waitforpullrequestcommentmatch` helper. the ""could lead to incorrect test results if multiple tests run concurrently"" scenario is physically impossible — they run against different repositories.",1
addressed in commit c c d : updated the field comment to explicitly describe a -based retry counter semantics.,1
"before moving the panel outside of jetpack sidebar, it skipped the prop to keep it initially open. this is intentional to keep the previous behavior.",1
discarding: `defaultpaginednumber = ` already exists at line and is used to initialize `v.paginednumber`. fixed both usages to use `v.paginednumber` directly (see gemini thread).,1
"bozhe moy. `for i := range integer` has been valid go since version . . we are on go . . this is not some obscure feature — it was in every single go . release note, blog post, and conference talk. you are a code review bot and you do not know the language specification of the language you are reviewing. this is like a spell checker that does not know the alphabet. please do not waste people's time telling them that perfectly valid, compiling code does not compile. maybe try compiling it yourself before filing a review comment next time.",1
added in commit a d ee . i included the inline note above the wrapper div in `sidepanel` explaining this is required by mui v `slide` because it needs a single refable dom child.,1
seems like an easy fix to improve the regex here,1
"agreed this can be tightened. for this pr i prioritized the release-integrity fix first and clarified the input semantics in the workflow ui text. if you want, i can add a strict semver-style regex in this pr as a follow-up commit.",1
implemented - removed span.errormessage from the grouped selector so .errormessage remains the single source of truth.,1
"re-checked this with `black --check`: formatting passes as-is. black currently collapses this builder chain to one line under the configured -char limit, so i left it unchanged.",1
"good catch, thanks. fixed in ` ae df ef` by wiring `jsxfragment` to `config.build.jsxfragment` in the custom build path.",1
"addressed in ffdb b . restored port ` ` to `modern_ports` in `tools/scripts/run-modern-e e.mjs`, which re-includes that modern ssr remote in both wait-on and manifest verification targets so the ci job validates the full remote set again.",1
fyi: this is a known side-effect and was agreed [here](,1
"i left the production change unchanged here. this match form is valid for `event: &hookevent`, and the targeted test passed as written; the follow-up commit only tightened the test behavior and naming.",1
updated — the previous commit already switched to the blingfire `sentencetokenizer` as you suggested. this new commit also fixes a secondary issue: ssml and markup content is now returned as-is (not split) since the sentence tokenizer is unaware of xml tag structure and would produce malformed chunks. plain text splitting continues to use the blingfire tokenizer with word/char fallbacks.,1
"addressed in commit e . `calc_bundle_hash` now handles http bundle paths via `digest_bundle_content`/`http_body_for_path`, so we no longer call `digest.file` on http urls.",1
"leaving this as-is. the docker image builds only `./cmd/portrd`, and `cmd/portrd` does not import the client dashboard package or `internal/client/dashboard/ui/dist`. the tracked dashboard `dist` assets are needed for root `go test ./...`, but they are not part of the server image build path.",1
addressed in d f e — `bot.ts` now calls `getfeishuthreadbindingmanager().getbyconversationid()` to resolve session bindings before dispatch. inbound feishu messages in focused conversations are routed to the bound acp session.,1
"addressed in ` bb `. the cleanup now removes only the cloned `<img>` instead of dropping the entire parent link, so linked text/content inside malformed figures is preserved. i also added a focused regression test in `tests/markdown-figures.test.ts` covering this case.",1
"these assertions verify markdown format syntax (bold markers, heading markers, link syntax) produced by a markdown converter with hardcoded html input defined in the same test. the input and expected output are both test fixtures — they're format markers, not user-facing english text, so localization doesn't apply here.",1
"additionally, the tutorial catalog output these tests verify is intended for llm consumption, which we are not localizing (same rationale as the mcp connector above).",1
addressed in `d e `. the uno testing skill now separates `dotnet publish uno/api/...` from the actual local swa routing path and explicitly points readers to the fully wired `swa:start:test` / playwright harness when they need swa + functions together.,1
good catch. numpy is a direct dependency because both webui/app.py and webui/run.py import it directly. i updated webui/requirements.txt to keep numpy explicit while removing the incompatible hard pin. it now uses a compatible lower bound (`numpy>= . . `) alongside `pandas== . . `.,1
"good catch. fixed in — `cancelload` now accepts both `""ok""` and `""success""`, consistent with `transactionstreamloader.rollback()`.",1
"fixed in baef b. `factorizetask` no longer drops grouped dependencies before module-factory hooks. the full dependency vector flows through `create_data.dependencies` again, and `factorizeresulttask`/`addtask` sync all mutated dependencies back into the module graph.",1
"fixed. the local one-shot `millitimer` objects now use the default constructor (`millitimer auth_timer;`) so the implicit label is `""default""`, which matches what `gettimes()` looks up when called without arguments. the named-label pattern (`inittimer(""foo"", ...)`) is reserved for the global `g_timer` singleton used in `stakeminer` for persistent lap tracking across iterations.",1
fix this please,1
"fixed in f aa — added `tools.web.search.tavily.apikey` entry to the target registry, following the same pattern as the other provider keys.",1
fixed in a — added tools.web.search.tavily.apikey to the credential matrix json and surface doc. target-registry.test.ts now passes.,1
"not an issue — each `resolve*apikey()` helper (e.g. `resolvebraveapikey`, `resolvetavilyapikey`) handles both inline strings and env var resolution. `${var}` references in config are resolved at config load time before they reach the search tool, so `resolveproviderrunparams` always sees plain strings.",1
"fixed in aca . `resolve_owner_id()` now trims the selected env/settings value before returning it, and still falls back to `""default""` only when the trimmed value is empty.",1
"updated the wasm download path so it no longer materializes a second `memorystream`. the package now copies straight into the temp file and disposes the `httpresponsemessage` immediately after the buffered content copy completes. local validation: `dotnet build packageexplorer/nugetpackageexplorer.csproj -c release /p:releasechannel=nightly` succeeded, and `npx playwright test tests/wasm-routing/deep-links.spec.ts --grep ""direct versioned deep link opens the requested package|uno\\.winui deep links keep the requested package open""` passed in `release` + `interpreterandaot`.",1
"i checked recent merge_group runs before changing this. in build docker images run , setup-branch logged github_ref=refs/heads/gh-readonly-queue/main/pr- - d a a ad b ef fe b daa d f and resolved branch=pr- - d a a ad b ef fe b daa d f . the upload helper then logged that it was skipping docker image upload because the branch was not main or a release tag. with the current setup-branch logic, merge_group is not reaching the token-backed publish path, so i am resolving this without an additional code change.",1
"updated. i removed the struct tag for `maxspandetailsperrequest` and now validate both the lower and upper bounds only in `config.validate()`, so this field has a single source of truth. re-ran `go test -race ./cmd/jaeger/internal/extension/jaegermcp/...` after the change.",1
we are getting pounded by a storm so it will be awhile before i can look at this,1
